,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue id,Venue Latitude,Venue Longitude,Venue Category id,Venue Category_id,price
214,Glencairn,43.709577,-79.44507259999999,4cc75fe53c40a35d09976e2e,43.70741964331273,-79.44312584563261,4bf58dd8d48988d16a941735,Food,1
215,Glencairn,43.709577,-79.44507259999999,4fca732be4b07c8e3e198c27,43.709111,-79.44393,4bf58dd8d48988d111941735,Food,2
224,Don Mills,43.72589970000001,-79.340923,4bdaff7463c5c9b67bcb2568,43.72657509457231,-79.34198930569546,4bf58dd8d48988d110941735,Food,2
227,Don Mills,43.72589970000001,-79.340923,4b6315b6f964a520d6612ae3,43.726747353541775,-79.34162487001265,4bf58dd8d48988d1c4941735,Food,2
230,Don Mills,43.72589970000001,-79.340923,4aec790bf964a5208fc721e3,43.727078,-79.340794,4bf58dd8d48988d111941735,Food,2
232,Don Mills,43.72589970000001,-79.340923,4bec7af349430f4760c807d2,43.72289725323043,-79.33911703526974,4bf58dd8d48988d1e0931735,Food,1
235,Don Mills,43.72589970000001,-79.340923,4b2d6fb4f964a520a5d624e3,43.7269059862849,-79.34121626053623,4bf58dd8d48988d142941735,Food,2
238,Don Mills,43.72589970000001,-79.340923,5686b77338faf7478eb6c6aa,43.7265905030894,-79.34218786843495,4bf58dd8d48988d1f5931735,Food,2
239,Don Mills,43.72589970000001,-79.340923,4b046a62f964a520035422e3,43.726602588537574,-79.34103479447748,4bf58dd8d48988d1c4941735,Food,2
240,Don Mills,43.72589970000001,-79.340923,4b97d317f964a520161835e3,43.72432189860479,-79.33685838010095,4bf58dd8d48988d1c5941735,Food,1
241,Don Mills,43.72589970000001,-79.340923,4b632004f964a520d6642ae3,43.72658622416194,-79.34183343111253,4bf58dd8d48988d145941735,Food,2
242,Don Mills,43.72589970000001,-79.340923,4b4b7b51f964a520749d26e3,43.72753609649164,-79.33954737355866,4bf58dd8d48988d1e0931735,Food,1
251,St. James Town,43.6514939,-79.3754179,574ad72238fa943556d93b8e,43.651422275497914,-79.37504693687086,4bf58dd8d48988d111941735,Food,2
252,St. James Town,43.6514939,-79.3754179,4af618daf964a520220122e3,43.65334645635036,-79.3744449051126,4bf58dd8d48988d1c4941735,Food,4
253,St. James Town,43.6514939,-79.3754179,4fff1f96e4b042ae8acddca5,43.65238358726612,-79.37271903848271,4bf58dd8d48988d1e0931735,Food,2
254,St. James Town,43.6514939,-79.3754179,583f54320923922e8141d360,43.650063279511016,-79.37458664523871,52e81612bcbc57f1066b79f2,Food,0
256,St. James Town,43.6514939,-79.3754179,4fcb97f7e4b00a0e8520b055,43.64928693557788,-79.37468932637938,4bf58dd8d48988d1cb941735,Food,1
257,St. James Town,43.6514939,-79.3754179,4b49183ff964a520a46526e3,43.650927,-79.375602,4bf58dd8d48988d110941735,Food,3
259,St. James Town,43.6514939,-79.3754179,57963897498e6873394a559d,43.65121343781903,-79.37523564828548,4bf58dd8d48988d1e0931735,Food,1
260,St. James Town,43.6514939,-79.3754179,4b72f550f964a5202e922de3,43.652483550499326,-79.37265472845176,4bf58dd8d48988d115941735,Food,1
261,St. James Town,43.6514939,-79.3754179,4b999927f964a5207c8635e3,43.650853361785124,-79.37588746641697,4bf58dd8d48988d111941735,Food,3
262,St. James Town,43.6514939,-79.3754179,4ad8ad9bf964a520a51321e3,43.651481290733734,-79.37359954211877,4bf58dd8d48988d155941735,Food,2
263,St. James Town,43.6514939,-79.3754179,506880f3e8893b5a347c4043,43.65165840099557,-79.3727201723461,4bf58dd8d48988d1df931735,Food,2
264,St. James Town,43.6514939,-79.3754179,5807af6d38fa30a2181f644a,43.65046931503178,-79.37631703952829,5bae9231bedf3950379f89d4,Food,0
265,St. James Town,43.6514939,-79.3754179,506db1a9e4b0a3f3b31412f0,43.65156872562108,-79.37926594000328,4bf58dd8d48988d14e941735,Food,3
267,St. James Town,43.6514939,-79.3754179,514627d1e4b0dba1b85e9ba8,43.650497,-79.378765,4bf58dd8d48988d16d941735,Food,2
269,St. James Town,43.6514939,-79.3754179,4b5ca7d8f964a5207c3c29e3,43.64941904378835,-79.37723726034164,4bf58dd8d48988d155941735,Food,2
270,St. James Town,43.6514939,-79.3754179,4ae5f583f964a52084a321e3,43.65297,-79.371467,4bf58dd8d48988d147941735,Food,2
272,St. James Town,43.6514939,-79.3754179,50b7c53616485cd9efad60d5,43.64848710249909,-79.37454735245633,4bf58dd8d48988d149941735,Food,2
273,St. James Town,43.6514939,-79.3754179,5214e7c111d2a83379eae21f,43.650951982093595,-79.37942201983014,4bf58dd8d48988d157941735,Food,3
275,St. James Town,43.6514939,-79.3754179,587d61b42868046f4347acc5,43.65063683072023,-79.37127573699792,4bf58dd8d48988d16d941735,Food,1
276,St. James Town,43.6514939,-79.3754179,5b5bca904aa3f8002c97f85d,43.64781466405137,-79.3744527618627,4bf58dd8d48988d1d3941735,Food,2
278,St. James Town,43.6514939,-79.3754179,4d2c55ea55a8b60c5004efc0,43.65043319523819,-79.37939324949957,4bf58dd8d48988d1c9941735,Food,1
283,St. James Town,43.6514939,-79.3754179,53c524bd498efaeebf73b291,43.6491179354577,-79.37831288380438,4bf58dd8d48988d16d941735,Food,1
284,St. James Town,43.6514939,-79.3754179,50fd7b1b582f9d035e57a426,43.648742,-79.374142,4bf58dd8d48988d1c4941735,Food,2
286,St. James Town,43.6514939,-79.3754179,52138db911d22803b334c641,43.64815919753501,-79.37874450467258,4bf58dd8d48988d16d941735,Food,1
289,St. James Town,43.6514939,-79.3754179,534effeb498e6464d5c4885c,43.64850142396483,-79.3718080237409,4bf58dd8d48988d1ce941735,Food,3
291,St. James Town,43.6514939,-79.3754179,4c6eb1c9c524370414ae2beb,43.648668221542096,-79.37160962302049,4bf58dd8d48988d16a941735,Food,1
292,St. James Town,43.6514939,-79.3754179,4b08208af964a5205f0423e3,43.650822486200305,-79.37043860004992,4bf58dd8d48988d143941735,Food,2
295,St. James Town,43.6514939,-79.3754179,4b86b209f964a520cf9631e3,43.6484950904393,-79.37146231793892,4bf58dd8d48988d1ce941735,Food,2
299,St. James Town,43.6514939,-79.3754179,4c2b80a6ae6820a18fe91743,43.64873614340388,-79.37162306748482,52e81612bcbc57f1066b79f2,Food,1
300,St. James Town,43.6514939,-79.3754179,4b6dcbf5f964a520ab902ce3,43.64875714757637,-79.37164539765817,4bf58dd8d48988d1e0931735,Food,1
301,St. James Town,43.6514939,-79.3754179,561ffc99498e1468dac63cdd,43.65423906004429,-79.37053284604036,4bf58dd8d48988d10d941735,Food,2
302,St. James Town,43.6514939,-79.3754179,55314880498eca93a62e17ec,43.647686808930885,-79.3772953884033,4bf58dd8d48988d16d941735,Food,1
308,St. James Town,43.6514939,-79.3754179,4d3997e1687ca35dbd0081c4,43.65098801064232,-79.38122513218154,4bf58dd8d48988d14e941735,Food,2
309,St. James Town,43.6514939,-79.3754179,4b0f3cd2f964a520b66023e3,43.647084825125084,-79.37634231908494,4bf58dd8d48988d10c941735,Food,3
310,St. James Town,43.6514939,-79.3754179,54593679498e9c3b842c216d,43.647965,-79.373427,52e81612bcbc57f1066b7a00,Food,0
311,St. James Town,43.6514939,-79.3754179,4dfe1cf0a809d61e2fc568ce,43.652101173138405,-79.38117828399939,4bf58dd8d48988d1c4941735,Food,2
315,St. James Town,43.6514939,-79.3754179,4ad4c05df964a52039f620e3,43.647918499361516,-79.37727345157903,52e81612bcbc57f1066b7a06,Food,2
317,St. James Town,43.6514939,-79.3754179,4ba90db8f964a5203f073ae3,43.65055650489936,-79.38117543224395,4bf58dd8d48988d142941735,Food,2
320,St. James Town,43.6514939,-79.3754179,5320fc6e498edcd270d86779,43.648409,-79.375017,52e81612bcbc57f1066b79f1,Food,2
322,St. James Town,43.6514939,-79.3754179,4b06e099f964a52002f222e3,43.64807704204346,-79.37759871575396,4bf58dd8d48988d143941735,Food,2
323,St. James Town,43.6514939,-79.3754179,4adc5c6af964a520da2b21e3,43.6502431921682,-79.38081989149896,4bf58dd8d48988d110941735,Food,3
325,St. James Town,43.6514939,-79.3754179,4ad4c060f964a52057f720e3,43.64814738516352,-79.37875242540652,4bf58dd8d48988d14e941735,Food,2
327,St. James Town,43.6514939,-79.3754179,5b8431619f8a9f002c9bdc53,43.648224,-79.376352,4bf58dd8d48988d1e0931735,Food,1
328,St. James Town,43.6514939,-79.3754179,4db5e84443a1369cb5da528a,43.6480141803431,-79.37911924716222,4bf58dd8d48988d153941735,Food,1
329,St. James Town,43.6514939,-79.3754179,54f9c6de498eb5e6895c94b2,43.64795486604762,-79.37383309017605,4bf58dd8d48988d1e0931735,Food,1
330,St. James Town,43.6514939,-79.3754179,4ba5616ff964a520390139e3,43.648113752405834,-79.37404622657372,4bf58dd8d48988d1c3941735,Food,2
331,St. James Town,43.6514939,-79.3754179,4ad4c061f964a520acf720e3,43.647927833506316,-79.37434095390434,4bf58dd8d48988d1c3941735,Food,3
332,St. James Town,43.6514939,-79.3754179,4ad4c05df964a52055f620e3,43.64723602476138,-79.37389161769812,52e81612bcbc57f1066b7a02,Food,3
333,St. James Town,43.6514939,-79.3754179,4c11888fd917c92837f4b562,43.64714379216559,-79.3769382034035,4bf58dd8d48988d1c4941735,Food,2
342,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.57720079999999,5cebda3300b068002dca9d81,43.641312,-79.576924,4bf58dd8d48988d1e0931735,Food,1
343,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.57720079999999,4cb4e17052edb1f7745763fe,43.64184465713319,-79.5765560607079,4bf58dd8d48988d1ca941735,Food,1
345,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.57720079999999,4b251b4cf964a520586c24e3,43.641820470953256,-79.57672066335874,4bf58dd8d48988d16d941735,Food,1
351,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,57fd24f6cd1083addfd77bf9,43.765951,-79.191275,4bf58dd8d48988d1c4941735,Food,2
352,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,5411f741498e9ebd5e35d8bd,43.766299084470795,-79.19071980583941,4bf58dd8d48988d1c1941735,Food,1
